"","210787_s_at","205461_at","207730_x_at","202434_s_at","203890_s_at","212107_s_at","206439_at","201044_x_at","217607_x_at","217675_at","204560_at","215660_s_at","217248_s_at","202601_s_at","215600_x_at","214040_s_at","208629_s_at","202340_x_at","208965_s_at","211277_x_at","201465_s_at","200796_s_at","207574_s_at","222339_x_at","214251_s_at","201679_at","206824_at","203496_s_at","220221_at","207499_x_at","211876_x_at","208499_s_at","212027_at","215208_x_at","202773_s_at","217924_at","200671_s_at","200917_s_at","215067_x_at","207334_s_at","208900_s_at","220720_x_at","209959_at","218228_s_at","221017_s_at","221031_s_at","221638_s_at","217007_s_at","213986_s_at","205210_at"
"GSM1337324",3.40599235967584,5.16591193893569,10.4615817624552,2.98185265328974,5.12928301694497,5.22110372536788,5.79181407116183,2.96347412397489,3.18586654531133,1.0703893278914,3.56071495447448,4.43962313755712,3.18586654531133,2.90689059560852,9.46025109894385,5.80219321694183,8.21334728173344,8.70839418775667,7.88508622529017,7.92955431573285,7.62716906084185,2.58496250072116,10.0018303848189,6.16992500144231,2.37851162325373,3.63226821549951,2,2.35049724708413,6.74953426766926,6.43629511983936,2.86789646399265,5.29278174922785,7.29645740737124,6.37503943134692,2.58496250072116,6.09381367340273,1.88752527074159,4.30742852519225,8.94456566142482,2.96347412397489,6.02236781302845,9.20065343636747,4.54843662469604,6.92243574023315,3.37851162325373,10.3111806600534,4.71699089440494,5.49185309632967,5.55765515472542,3.51096191927738
"GSM1337325",3.39231742277876,3.54843662469604,10.0857380021677,3.39231742277876,5.04001567884788,5.10433665981474,5.64673869830785,2.53605290024021,2.16992500144231,0.485426827170242,3.59693514238723,4.30742852519225,2.51096191927738,3.13750352374994,8.33940465790782,3.08746284125034,7.81762325751143,7.28725064325462,7.97785230797118,7.4093909361377,4.64385618977472,3.71149490665009,10.9776376904059,4.43962313755712,2.26303440583379,3.70043971814109,2.94485844580754,2.35049724708413,6.08746284125034,6.99774402605963,2.40599235967584,7.32732808262995,6.96347412397489,6.09803208296053,3.91647664443772,6.61618123133188,3.49825086752783,4.51096191927738,7.83289001416474,3.41953889151378,6.27798474729977,8.73030029846004,8.26959425168337,7.38370429247405,2.23266075679027,8.43045255166553,4.99095486039699,5.89481776330794,5.78659636189081,2.82781902461732
"GSM1337326",7.68860001099912,7.49585502688717,10.525031345124,8.60399717008549,8.20408201217437,8.2881739681123,4.54843662469604,9.94573644261376,6.20554891117303,3.29278174922785,7.79051141189419,7.67313237214536,6.7292808460274,6.96809075204526,9.72007321139177,9.58289465940685,10.3644630004271,8.85330955540367,10.2985208571259,8.7515440590891,9.1009251010569,9.08613622502731,10.2343384486956,7.10852445677817,7.93840342367024,7.38629363515099,3.97269265400426,6.37851162325373,6.02680005934372,8.12205144771389,8.7505395133545,7.55535603863583,8.67595703294175,7.26209484537018,7.12722055048807,8.75688985507462,7.69766263347052,8.95390541512611,8.2803068064537,7.57440430902258,8.26819107921981,8.56414948998573,5.42290574261218,8.9242186797485,5.52042224852645,8.63915979510997,7.80992886572143,8.19869058566892,8.8382584817133,6.67525138605026
"GSM1337327",3.71149490665009,3.08746284125034,9.06770324437316,2.84799690655495,6.59693514238723,3.68929916053589,8.15532422905059,7.07360604057494,2.82781902461732,2.16992500144231,3.78659636189081,4.03562390973072,3.01792190799726,3.10433665981474,6.95535930524299,4.6667565918848,8.18090370917938,7.39145842004967,8.57213175138666,6.77610398807316,8.0503928599799,3.6667565918848,10.3990642552193,3.74416109557041,3.30742852519225,2.37851162325373,2.8073549220576,2.96347412397489,4.78135971352466,5.76022094646651,2.82781902461732,2.92599941855622,7.27984269352035,4.0703893278914,3.03562390973072,6.35049724708413,2.76553474636298,4.92124588858559,7.43629511983936,3.30742852519225,6.88752527074159,6.73199778664374,5.0703893278914,7.36194377373524,3.26303440583379,8.80671071796523,3.75488750216347,6.40599235967584,6.71011763204345,3.75488750216347
"GSM1337328",4.27052894238072,4.4262647547021,8.93634348139549,3.40599235967584,5.61470984411521,4.78135971352466,5.86294724802092,4.26303440583379,2.10433665981474,1.0703893278914,2.43295940727611,4.21723071622067,1.72246602447109,2.60880924267552,7.0639343057541,2.60880924267552,8.13596574242734,7.10013667128545,7.44377239276374,6.79701297783614,6.87528859822269,3,9.72826067270907,3.08746284125034,2.40599235967584,3.82781902461732,2.4594316186373,2.51096191927738,5.2667865406949,5.44625622988956,1.8073549220576,4.0703893278914,6.46923479366766,2.72246602447109,4.09592441999854,6.01346225980656,1.76553474636298,4.61470984411521,5.80219321694183,2.8073549220576,5.86542397831313,6.88874324889826,5.70597790168252,6.25738784269265,2.51096191927738,8.1644041578813,5.02236781302845,5.762880292917,5.71424551766612,3.76553474636298
"GSM1337329",4.62058641045188,4.23266075679027,7.8972404255748,3.75488750216347,6.27984269352035,5.83289001416474,7.65248649491816,3.30742852519225,3.84799690655495,0.765534746362977,4.02680005934372,3.6667565918848,2.51096191927738,3.75488750216347,5.21334728173344,2.88752527074159,7.64169052255661,7.12825215227739,7.49185309632967,6.7839804136838,4.19377174339668,4.56071495447448,9.27239650903748,2.8073549220576,1.67807190511264,5.63807383718072,3.29278174922785,2.4594316186373,5.85798099512757,6.93663793900257,2.8073549220576,2.37851162325373,6.33628338786443,3.49825086752783,4.25550073314839,2.96347412397489,1.76553474636298,6.11270013274936,4.30012372456901,2.48542682717024,5.72246602447109,6.68790052248075,6.44128427192704,6.54997714277182,2.94485844580754,7.81185631429254,3.79701297783614,6.31650781910311,6.02680005934372,3.27798474729977
"GSM1337330",3.49825086752783,3.93545974780529,8.76983784362944,3.74416109557041,5.87282875953489,5.71699089440494,8.28863540903768,4.65535182861255,1.32192809488736,1.92599941855622,6.09803208296053,3.78659636189081,1.53605290024021,3.0703893278914,7.10956950937069,2.60880924267552,7.87958324961278,7.13237119873254,7.82908844400489,6.66959375118833,6.64385618977472,4.5668151540109,10.7012198110057,4.06177619758669,2.43295940727611,4.47248777146274,2.82781902461732,4.27052894238072,4.64385618977472,5.1168637576909,1.72246602447109,6.02901108665907,6.94485844580754,5.18586654531133,5.36457243229586,4.51727569320958,2.03562390973072,6.23074100262691,5.08746284125034,3.78659636189081,5.5077946401987,7.31469652565629,4.23266075679027,6.76950729143624,3.44625622988956,7.19179950106508,3.84799690655495,5.19377174339668,6.66817586897014,3.23266075679027
"GSM1337331",4.59693514238723,2.32192809488736,8.5928307440545,3,6.03121873061072,5.71424551766612,5.96578428466209,2.76553474636298,2.58496250072116,1,4.75488750216347,3.70043971814109,2.03562390973072,2.78659636189081,6.85798099512757,6.07681559705083,8.06285565520599,4.68929916053589,7.65391987311942,5.86046625851717,4.4262647547021,3.39231742277876,9.95492329203032,3.10433665981474,2.65535182861255,3.27798474729977,2.32192809488736,2.4594316186373,2.84799690655495,3.32192809488736,1.92599941855622,2.98185265328974,6.62935662007961,3.54843662469604,3.93545974780529,6.35049724708413,7.55305325276641,3.62058641045188,4.37155886261196,2.20163386116965,5.82781902461732,6.1333991254172,4.60288440871842,7.2460279805281,2.88752527074159,7.57893871309339,5.29645740737124,6.23840473932508,5.52356195605701,4.10433665981474
"GSM1337332",3.18586654531133,3.57288966842058,8.19229281447077,3.98185265328974,4.84799690655495,3.20163386116965,6.16591193893569,2.35049724708413,4.84297883178833,0.485426827170242,5.98413359454098,3.23266075679027,1.88752527074159,3.47248777146274,7.17192735435346,5.72246602447109,9.04494049127973,6.24222139509837,8.06285565520599,6.2460279805281,4.7279204545632,2.92599941855622,10.6638249158645,4.43295940727611,2.51096191927738,2.92599941855622,2.40599235967584,6.07895134139482,3.62058641045188,6.38887833881199,1.96347412397489,6.27052894238072,7.61323695471633,3.24792751344359,4.69488019279919,6.62643913669732,2.29278174922785,4.55458885167764,5.88996019965864,3.27798474729977,6.43295940727611,4.34340782229781,4.56071495447448,6.85424505422013,2.16992500144231,8.19327893552139,3.32192809488736,6.55151601762801,4.19377174339668,5.13750352374993
"GSM1337333",4.24792751344359,3.6667565918848,8.52042224852645,2.16992500144231,5.65535182861255,5.48864353985378,9.57648434679685,4.43962313755712,1.96347412397489,3.10433665981474,4.03562390973072,3.23266075679027,2.20163386116965,4.95884267524324,7.33539035469393,2.56071495447448,8.88172579064223,5.07895134139482,9.19204617885329,6.63372181264101,4.01792190799726,3.10433665981474,9.60714534098945,3.05311133645956,2.65535182861255,3.52356195605701,1.84799690655495,2.4594316186373,0.925999418556223,6.45121111183233,3.26303440583379,4.70043971814109,7.26209484537018,2.74416109557041,5.22496636500027,5.81249822533356,5.66959375118833,3.97269265400426,5.79701297783614,3.90689059560852,5.98185265328974,6.00674683244058,4.15380533607904,6.60880924267552,3.0703893278914,7.18388345903223,5.35755200461808,7.34695688937888,6.48220292629596,5.85049941375812
